pays;région;;;;;;;
Grèce;Thessalonique;;;;;;;
;;;;;;;;
categorie;nom;adresse;note;description;transport;url;lon;lat
Hotel;Leiland #colony_White_Tower_Suite;8 Dimitrios Gounaris, Thessalonique, 54621, Grèce;;;;;22.954650;40.586996
Eglise;Eglise Aghia Sophia;;4;mosaïques **, vierge à l'enfant **, fresques *, chapiteaux corinthiens feuilles retournées *;;https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Sophie_de_Thessalonique;22.947094;40.632844
Antique;Palais de Galère;;3;mosaïques *, salle octogone * gratuit;;https://fr.wikipedia.org/?curid=8517061;22.949315;40.630335
Antique;Arc de Galère;;3;;;https://fr.wikipedia.org/?curid=576201;22.949315;40.630335
Antique;Rotonde Aghios Giorgios;;5;coupole à mosaïques;;https://www.divento.com/fr/home/23131-la-rotonde-thessalonique.html;22.952876;40.633525
Eglise;Basilique Aghios panteleimon;;2;;;https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pantal%C3%A9on_de_Thessalonique;22.951207;40.633111
Eglise;Basilique Theotokos Acheropietos;;3;;;https://fr.wikipedia.org/wiki/%C3%89glise_de_l%27Acheiropoi%C3%A8tos;22.947995;40.634935
Eglise;Ladadika;;3;Près du port quartier anciennes huileries;;https://fr.wikipedia.org/?curid=99719;22.950000;40.633333
Antique;Agora;;3;Avec Odéon;;https://fr.wikipedia.org/?curid=74569;22.941413;40.636408
Eglise;Eglise Panaghia ton Chalkeon, Thessalonique;;3;Fresques;;https://fr.wikipedia.org/wiki/%C3%89glise_de_la_Panag%C3%ADa_Chalk%C3%A9on;22.943658;40.636782
Eglise;Eglise Aghios Dimitrios, Thessalonique;;4;Mosaïques, ciboire, crypte en sous sol;;https://fr.wikipedia.org/wiki/Basilique_Saint-Dimitri_de_Thessalonique;22.947858;40.638822
Eglise;Eglise Aghioi Apostoli, , Thessalonique;;3;Mosaiques, peintures;;https://fr.wikipedia.org/wiki/%C3%89glise_des_Saints-Ap%C3%B4tres_de_Thessalonique;22.937547;40.642839
Ottoman;Mosquée Hamza Bey;;1;;;https://fr.wikipedia.org/?curid=14398411;22.941700;40.637400
Ottoman;Bezesten;;1;En face du marché central très animé;;https://fr.wikipedia.org/?curid=99719;22.950000;40.633333
Ottoman;Yahudi Hammam;;1;Marche aux fleurs;;https://fr.wikipedia.org/?curid=99719;22.950000;40.633333
Ottoman;Bey Hammam;;1;;;https://fr.wikipedia.org/?curid=658895;22.945300;40.635700
Ottoman;Mosquée Alaca Imaret, Thessalonique;;1;;;https://fr.wikipedia.org/wiki/Mosqu%C3%A9e_Ishak-Pacha;22.949600;40.639200
Eglise;Eglise Aghia Ekaterini, Thessalonique;;2;Art de la renaissance paléologue;;https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Catherine_de_Thessalonique;22.944304;40.643150
Eglise;Eglise Profitis, Thessalonique;;3;Belle déco extérieure peintures murales;;https://fr.wikipedia.org/wiki/%C3%89glise_du_Proph%C3%A8te-%C3%89lie_de_Thessalonique;22.948583;40.640917
Eglise;Eglise Hosios David;;4;Mosaïque et fresques du VIe siècle ! Unique à Thessalonique;;https://fr.wikipedia.org/?curid=8523623;22.952278;40.641806
Eglise;Acropole, Thessalonique;;;Tour Andronic, quartier de maisons ottomanes, citadelle egyptario, porte Anne Paleologue, tour de la chaîne, tour d'Hormisdas;;https://fr.wikipedia.org/wiki/Heptapyrgion;22.962000;40.644000
Eglise;Eglise Aghios Nicolaos Orphanos, Thessalonique;;5;Un des bijoux architecturaux de la ville, fresques;;https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Nicolas-l%27Orphelin_de_Thessalonique;22.955989;40.637756
Contemporain;Maison Ataturk, Thessalonique;;1;;;https://fr.wikipedia.org/?curid=14373160;22.954306;40.635750
Renaissance;Tour blanche;;3;Belle vue de la terrasse;;https://fr.wikipedia.org/?curid=1719664;22.948333;40.626389
